# Downloaded from finance.yahoo.com
Date,Open,High,Low,Close,Volume,Adj Close
2010-01-29,362.728,362.728,362.728,362.728,000,362.728
2010-01-28,356.211,356.211,356.211,356.211,000,356.211
2010-01-27,354.947,354.947,354.947,354.947,000,354.947
2010-01-26,355.226,355.226,355.226,355.226,000,355.226
2010-01-25,357.522,357.522,357.522,357.522,000,357.522
2010-01-22,357.119,357.119,357.119,357.119,000,357.119
2010-01-21,362.603,362.603,362.603,362.603,000,362.603
2010-01-20,367.699,367.699,367.699,367.699,000,367.699
2010-01-19,377.25,377.25,377.25,377.25,000,377.25
2010-01-18,378.802,378.802,378.802,378.802,000,378.802
2010-01-15,378.287,378.287,378.287,378.287,000,378.287
2010-01-14,381.10,381.10,381.10,381.10,000,381.10
2010-01-13,376.785,376.785,376.785,376.785,000,376.785
2010-01-12,376.424,376.424,376.424,376.424,000,376.424
2010-01-11,383.842,383.842,383.842,383.842,000,383.842
2010-01-08,382.324,382.324,382.324,382.324,000,382.324
2010-01-07,380.378,380.378,380.378,380.378,000,380.378
2010-01-06,378.913,378.913,378.913,378.913,000,378.913
2010-01-05,380.752,380.752,380.752,380.752,000,380.752
2010-01-04,380.155,380.155,380.155,380.155,000,380.155
2009-12-31,371.556,371.556,371.556,371.556,000,371.556
2009-12-30,371.556,371.556,371.556,371.556,000,371.556
2009-12-29,375.20,375.20,375.20,375.20,000,375.20
2009-12-28,372.902,372.902,372.902,372.902,000,372.902
2009-12-23,371.198,371.198,371.198,371.198,000,371.198
2009-12-22,369.698,369.698,369.698,369.698,000,369.698
2009-12-21,369.90,369.90,369.90,369.90,000,369.90
2009-12-18,363.737,363.737,363.737,363.737,000,363.737
2009-12-17,366.528,366.528,366.528,366.528,000,366.528
2009-12-16,371.03,371.03,371.03,371.03,000,371.03
2009-12-15,367.149,367.149,367.149,367.149,000,367.149
2009-12-14,365.032,365.032,365.032,365.032,000,365.032
2009-12-11,361.359,361.359,361.359,361.359,000,361.359
2009-12-10,362.228,362.228,362.228,362.228,000,362.228
2009-12-09,356.545,356.545,356.545,356.545,000,356.545
2009-12-08,360.299,360.299,360.299,360.299,000,360.299
2009-12-07,362.774,362.774,362.774,362.774,000,362.774
2009-12-04,362.865,362.865,362.865,362.865,000,362.865
2009-12-03,357.766,357.766,357.766,357.766,000,357.766
2009-12-02,357.675,357.675,357.675,357.675,000,357.675
2009-12-01,357.751,357.751,357.751,357.751,000,357.751
2009-11-30,349.148,349.148,349.148,349.148,000,349.148
2009-11-27,355.772,355.772,355.772,355.772,000,355.772
2009-11-26,349.164,349.164,349.164,349.164,000,349.164
2009-11-25,360.156,360.156,360.156,360.156,000,360.156
2009-11-24,358.507,358.507,358.507,358.507,000,358.507
2009-11-23,360.366,360.366,360.366,360.366,000,360.366
2009-11-20,350.394,350.394,350.394,350.394,000,350.394
2009-11-19,348.908,348.908,348.908,348.908,000,348.908
2009-11-18,357.426,357.426,357.426,357.426,000,357.426
2009-11-17,356.326,356.326,356.326,356.326,000,356.326
2009-11-16,357.749,357.749,357.749,357.749,000,357.749
2009-11-13,347.315,347.315,347.315,347.315,000,347.315
2009-11-12,345.762,345.762,345.762,345.762,000,345.762
2009-11-11,346.714,346.714,346.714,346.714,000,346.714
2009-11-10,342.827,342.827,342.827,342.827,000,342.827
2009-11-09,344.266,344.266,344.266,344.266,000,344.266
2009-11-06,334.52,334.52,334.52,334.52,000,334.52
2009-11-05,337.217,337.217,337.217,337.217,000,337.217
2009-11-04,336.077,336.077,336.077,336.077,000,336.077
2009-11-03,326.717,326.717,326.717,326.717,000,326.717
2009-11-02,331.988,331.988,331.988,331.988,000,331.988
2009-10-30,331.351,331.351,331.351,331.351,000,331.351
2009-10-29,337.851,337.851,337.851,337.851,000,337.851
